feature,importance
experience_encoded,0.7647485
years_experience,0.13586202
company_size_encoded,0.024372576
company_location_encoded,0.023310179
salary_currency_encoded,0.01055724
employee_residence_encoded,0.0071219876
same_country,0.0057467083
exp_x_skills,0.0053189313
benefits_x_exp,0.0026868319
remote_remote,0.0019348859
remote_onsite,0.0019217429
job_title_encoded,0.0018533756
emp_part_time,0.0018308864
benefits_score,0.0018268987
education_required_encoded,0.0017705614
industry_encoded,0.0017670845
emp_freelance,0.0016997753
days_open,0.0015812857
remote_ratio,0.0014199137
num_skills,0.0013808302
emp_full_time,0.001287796
